date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:19:46	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:%2215d9d-5d31a5815fe00-gzip%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/js/jquery-3.6.0.min.js	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/js/jquery-3.6.0.min.js	(from https://dreamschat.dreamguystech.com/template-html/template2/index.html)
09:19:46	78135/78135	---M-Z	200	added ('OK')	application/javascript	etag:%2213137-5d31a5815fe00-gzip%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/js/bootstrap.bundle.min.js	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/js/bootstrap.bundle.min.js	(from https://dreamschat.dreamguystech.com/template-html/template2/index.html)
09:19:47	4739/4739	---M-Z	200	added ('OK')	application/javascript	etag:%221283-5cf3eafafa880-gzip%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/slimscroll/jquery.slimscroll.min.js	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/slimscroll/jquery.slimscroll.min.js	(from https://dreamschat.dreamguystech.com/template-html/template2/index.html)
09:19:47	139204/139204	---M-Z	200	added ('OK')	application/javascript	etag:%2221fc4-5cf3eafafa880-gzip%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/swiper/swiper.min.js	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/swiper/swiper.min.js	(from https://dreamschat.dreamguystech.com/template-html/template2/index.html)
09:19:47	68265/68265	---M-Z	200	added ('OK')	application/javascript	etag:%2210aa9-5cf3eafafa880-gzip%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fancybox/jquery.fancybox.min.js	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fancybox/jquery.fancybox.min.js	(from https://dreamschat.dreamguystech.com/template-html/template2/index.html)
09:19:48	5697/5697	---MCZ	200	added ('OK')	application/javascript	etag:W/%221cca-5d31a5815fe00-gzip%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/js/script.js	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/js/script.js	(from https://dreamschat.dreamguystech.com/template-html/template2/index.html)
09:19:48	130906/130906	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221ff5a-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400.eot	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400.eot	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:19:48	130906/130906	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221ff5a-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400.eot?	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400d41d.eot	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:19:48	75336/75336	---M--	200	added ('OK')	text/html	etag:%2212648-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400.woff2	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400.html	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:19:49	88428/88428	---MCZ	200	added ('OK')	application/font-woff	etag:W/%221596c-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400.woff	F:/WinHTTrack/SignalR%20Project/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400.woff	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
